dac_inputs (V),adc_outputs
0.000000,0
0.000606,0
0.001211,0
0.001817,0
0.002422,0
0.003028,0
0.003634,0
0.004239,0
0.004845,0
0.005451,0
0.006056,0
0.006662,0
0.007267,0
0.007873,0
0.008479,0
0.009084,0
0.009690,0
0.010295,0
0.010901,0
0.011507,0
0.012112,0
0.012718,0
0.013324,0
0.013929,0
0.014535,0
0.015140,0
0.015746,0
0.016352,0
0.016957,0
0.017563,0
0.018168,0
0.018774,0
0.019380,0
0.019985,0
0.020591,0
0.021197,0
0.021802,0
0.022408,0
0.023013,0
0.023619,0
0.024225,0
0.024830,0
0.025436,0
0.026042,0
0.026647,0
0.027253,0
0.027858,0
0.028464,0
0.029070,0
0.029675,0
0.030281,0
0.030886,0
0.031492,0
0.032098,0
0.032703,0
0.033309,1
0.033915,0
0.034520,1
0.035126,0
0.035731,1
0.036337,1
0.036943,0
0.037548,0
0.038154,0
0.038759,1
0.039365,2
0.039971,1
0.040576,2
0.041182,1
0.041788,1
0.042393,2
0.042999,1
0.043604,2
0.044210,0
0.044816,1
0.045421,0
0.046027,0
0.046632,0
0.047238,0
0.047844,0
0.048449,0
0.049055,0
0.049661,0
0.050266,1
0.050872,1
0.051477,1
0.052083,1
0.052689,2
0.053294,1
0.053900,3
0.054505,3
0.055111,4
0.055717,3
0.056322,3
0.056928,4
0.057534,4
0.058139,4
0.058745,4
0.059350,4
0.059956,4
0.060562,3
0.061167,4
0.061773,4
0.062379,4
0.062984,4
0.063590,4
0.064195,0
0.064801,1
0.065407,2
0.066012,1
0.066618,2
0.067223,2
0.067829,5
0.068435,4
0.069040,4
0.069646,4
0.070252,4
0.070857,3
0.071463,4
0.072068,4
0.072674,3
0.073280,3
0.073885,4
0.074491,4
0.075096,4
0.075702,4
0.076308,4
0.076913,5
0.077519,5
0.078125,4
0.078730,5
0.079336,4
0.079941,5
0.080547,5
0.081153,5
0.081758,5
0.082364,5
0.082969,5
0.083575,5
0.084181,5
0.084786,5
0.085392,4
0.085998,5
0.086603,4
0.087209,5
0.087814,5
0.088420,6
0.089026,6
0.089631,6
0.090237,6
0.090842,6
0.091448,7
0.092054,6
0.092659,6
0.093265,7
0.093871,6
0.094476,7
0.095082,7
0.095687,6
0.096293,6
0.096899,6
0.097504,6
0.098110,7
0.098716,7
0.099321,7
0.099927,6
0.100532,7
0.101138,7
0.101744,7
0.102349,7
0.102955,8
0.103560,9
0.104166,9
0.104772,8
0.105377,8
0.105983,8
0.106589,5
0.107194,7
0.107800,7
0.108405,7
0.109011,7
0.109617,7
0.110222,8
0.110828,8
0.111433,6
0.112039,6
0.112645,9
0.113250,10
0.113856,10
0.114462,10
0.115067,0
0.115673,0
0.116278,0
0.116884,0
0.117490,0
0.118095,0
0.118701,0
0.119306,0
0.119912,0
0.120518,0
0.121123,0
0.121729,0
0.122335,0
0.122940,0
0.123546,0
0.124151,0
0.124757,0
0.125363,0
0.125968,0
0.126574,0
0.127179,0
0.127785,0
0.128391,0
0.128996,0
0.129602,0
0.130208,0
0.130813,0
0.131419,0
0.132024,0
0.132630,0
0.133236,0
0.133841,0
0.134447,0
0.135053,0
0.135658,0
0.136264,0
0.136869,0
0.137475,0
0.138081,0
0.138686,0
0.139292,0
0.139897,0
0.140503,0
0.141109,0
0.141714,0
0.142320,0
0.142926,0
0.143531,0
0.144137,0
0.144742,0
0.145348,0
0.145954,0
0.146559,0
0.147165,0
0.147770,0
0.148376,0
0.148982,0
0.149587,0
0.150193,0
0.150799,0
0.151404,0
0.152010,0
0.152615,0
0.153221,0
0.153827,0
0.154432,0
0.155038,0
0.155643,0
0.156249,0
0.156855,0
0.157460,0
0.158066,0
0.158672,0
0.159277,0
0.159883,0
0.160488,0
0.161094,0
0.161700,0
0.162305,0
0.162911,1
0.163516,1
0.164122,0
0.164728,0
0.165333,0
0.165939,0
0.166545,0
0.167150,1
0.167756,1
0.168361,1
0.168967,1
0.169573,1
0.170178,2
0.170784,1
0.171389,1
0.171995,1
0.172601,2
0.173206,2
0.173812,3
0.174418,2
0.175023,2
0.175629,2
0.176234,3
0.176840,3
0.177446,2
0.178051,3
0.178657,3
0.179263,3
0.179868,3
0.180474,3
0.181079,3
0.181685,4
0.182291,3
0.182896,4
0.183502,4
0.184107,4
0.184713,4
0.185319,5
0.185924,5
0.186530,5
0.187136,4
0.187741,5
0.188347,5
0.188952,5
0.189558,5
0.190164,5
0.190769,5
0.191375,5
0.191980,5
0.192586,6
0.193192,5
0.193797,6
0.194403,6
0.195009,5
0.195614,5
0.196220,5
0.196825,5
0.197431,6
0.198037,6
0.198642,6
0.199248,5
0.199853,5
0.200459,6
0.201065,6
0.201670,6
0.202276,6
0.202882,6
0.203487,6
0.204093,7
0.204698,7
0.205304,6
0.205910,7
0.206515,7
0.207121,6
0.207726,7
0.208332,6
0.208938,7
0.209543,6
0.210149,7
0.210755,7
0.211360,8
0.211966,9
0.212571,8
0.213177,9
0.213783,9
0.214388,9
0.214994,9
0.215600,9
0.216205,9
0.216811,9
0.217416,9
0.218022,9
0.218628,9
0.219233,9
0.219839,9
0.220444,9
0.221050,10
0.221656,10
0.222261,10
0.222867,9
0.223473,10
0.224078,10
0.224684,10
0.225289,10
0.225895,10
0.226501,11
